"מזהה","מזהה שם","מצב","שם באנגלית"
"1","01 - שיעור/שעור+קצוב אל""פ משעור אלט' + קצוב אלט' ","1","(X plus Y) but no less than (W plus Z)"
"2","02 - שעור+קצוב אל""י משעור אלט' + קצוב אלט' ","1","(X plus Y) but no more than (W plus Z)"
"3","03 - שעור אל""פ מהקצוב אל""י מקצוב אלט' ","1","(X no less than Y)  but no more than W "
"4","04 - שעור+קצוב אל""פ מקצוב אלט' אל""י משעור אלט' ","1","(X plus Y no less than W) but no more than Z"
"5","05 - קצוב + קצוב אלט' ","1","Y plus W"
"6","06 - קצוב פחות קצוב אלט' ","1","Y less W"
"7","07 - שעור+קצוב אל""י משעור אלט' אל""פ מקצוב אלט' ","1","(X plus Y  no more than-Z) but no less than-W"
"8","08 - שעור לרכב במשקל עד 3.5 טון כולל - אחרת שעור אלט' ","1","minimal weight for calc Z other X"
"9","09 - פטור ","1","Exempt"
"10","10 - שעור הפחתה ","1","Reduction Rate"
"11","11 - שעור הפחתה אל""י מקצוב אלט' ","1","F but no more than-W"
"12","12 - שעור הפחתה אל""י מקצוב אלט' + שעור אלט' ","1","F but no more than-(Z plus W)"
"13","13 - הסכום לתשלום מחושב ע""י הלקוח ","1","the payment calculated by client"
"14","14 - ללא הפחתה ","1","no reduction"
"15","15 - שעור ממס ","1","The rate of X% from the tax on goods by all this extra detail"
"16","16 - הנחה מקצוב ומקצוב אלטרנטיבי, אך לא משיעור ולא משיעור אלטרנטיבי ","1","REDUCTION_G"
"17","17 - מס מפרט מהותי + שיעור מס מקוד הנחה ","1","ADDITION_X"
