"קוד מטבע","שם","מצב","שם באנגלית","האם ניתן לעריכה","תאריך סוף","תאריך התחלה"
"ILS"," שקל ישראלי חדש","1","ILS","false","",""
"GBP","לירה שטרלינג","1","GBP","true","",""
"CHF","פרנק שויצרי","1","CHF","true","",""
"NOK","כתר נורבגי","1","NOK","true","",""
"SEK","קורונה שוודי","1","SEK","true","",""
"DKK","כתר דני","1","DKK","true","",""
"ZAR","רנד ד. אפריקה","1","ZAR","true","",""
"CAD","דולר קנדי","1","CAD","true","",""
"AUD","דולר אוסטרלי","1","AUD","true","",""
"USD","דולר ארה""ב","1","USD","true","",""
"JPY","יין יפני","1","JPY","true","",""
"JOD","דינר ירדני","1","JOD","true","",""
"HKD","דולר הונג-קונג","1","HKD","true","",""
"SGD","דולר סינגפור","1","SGD","true","",""
"INR","רופיה הודית","1","INR","true","",""
"EGP","לירה מצרית","1","EGP","true","",""
"EUR","אירו","1","EUR","true","",""
"CNY","יואן סיני","1","CNY","true","",""
"TWD","דולר טיוואני","1","TWD","true","",""
"KRW","ואן דרום קוריאה","1","KRW","true","",""
"NZD","דולר ניו זילנדי","1","NZD","true","",""
"BRL","ריאל ברזיל","1","BRL","true","",""
"RUB","רובל רוסי","1","RUB","true","",""
"UAH","הריבניה אוקריאנה","1","UAH","true","",""
"THB","באט תאילנד","1","THB","true","",""
"PHP","פזו פיליפיני","1","PHP","true","",""
"CLP","פזו צ'יליאני","1","CLP","true","",""
"MXN","פזו מקסיקני","1","MXN","true","",""
"PLN","זלוטי פולין","1","PLN","true","",""
"RON","ניו לאוי רומניה","1","RON","true","",""
"BYR","רובל בילרוסי","0","BYR","true","",""
"NPR","רופי נפאלי","1","NPR","true","",""
"LBP","לירה לבנונית","0","LBP","true","",""
"BGN","לב בולגרי","1","BGN","true","",""
"CZK","כתר צ'כי","1","CZK","true","",""
"HUF","פורינט הונגרי","1","HUF","true","",""
"ISK","כתר איסלנדי","0","ISK","true","",""
"LVL","לטס לטבי","0","LVL","true","",""
"LTL","ליטאס ליטאי","0","LTL","true","",""
"TRY","לירה טורקית חדשה","1","TRY","true","",""
"BYN","רובל בילרוסי חדש","1","BYN","true","",""
"DEM","מרק גרמני","0","DEM","false","",""
"FRF","פרנק צרפתי","0","FRF","false","",""
"ITL","לירה איטלקית","0","ITL","false","",""
"NLG","פלור הולנדי","0","NLG","false","",""
"BEF","פרנק בלגי","0","BEF","false","",""
"FIF","מרק פיני","0","FIF","false","",""
"ATS","שילינג אוסטרי","0","ATS","false","",""
"ESP","פסטות","0","ESP","false","",""
"GRD","דרכמה","0","GRD","false","",""
"IEP","לירה אירלנד","0","IEP","false","",""
"PTE","אסקודו פורטוג","0","PTE","false","",""
"XXX","לא ידוע","0","UNKNOWN","false","",""
"AED","דירהם איחוד האמירויות הערביות","1","AED","true","",""
"AFN","AFN","0","AFN","true","",""
"ALL","ALL","0","ALL","true","",""
"AMD","דראם ארמני","1","AMD","true","",""
"ANG","ANG","0","ANG","true","",""
"AOA","AOA","0","AOA","true","",""
"ARS","פסו ארגנטינאי","1","ARS","true","",""
"AWG","AWG","0","AWG","true","",""
"AZN","מאנאט אזרבייג'ני חדש","1","AZN","true","",""
"BAM","BAM","0","BAM","true","",""
"BBD","BBD","0","BBD","true","",""
"BDT","BDT","0","BDT","true","",""
"BHD","BHD","0","BHD","true","",""
"BIF","BIF","0","BIF","true","",""
"BMD","BMD","0","BMD","true","",""
"BND","BND","0","BND","true","",""
"BOB","BOB","0","BOB","true","",""
"BSD","BSD","0","BSD","true","",""
"BTC","BTC","0","BTC","true","",""
"BTN","BTN","0","BTN","true","",""
"BWP","BWP","0","BWP","true","",""
"BZD","BZD","0","BZD","true","",""
"CDF","CDF","0","CDF","true","",""
"CLF","CLF","0","CLF","true","",""
"COP","COP","0","COP","true","",""
"CRC","CRC","0","CRC","true","",""
"CUC","CUC","0","CUC","true","",""
"CUP","CUP","0","CUP","true","",""
"CVE","CVE","0","CVE","true","",""
"DJF","DJF","0","DJF","true","",""
"DOP","DOP","0","DOP","true","",""
"DZD","DZD","0","DZD","true","",""
"ERN","ERN","0","ERN","true","",""
"ETB","ביר אתיופי","1","ETB","true","",""
"FJD","FJD","0","FJD","true","",""
"FKP","FKP","0","FKP","true","",""
"GEL","לארי גאורגי","1","GEL","true","",""
"GGP","GGP","0","GGP","true","",""
"GHS","סדי גנאי","0","GHS","true","",""
"GIP","GIP","0","GIP","true","",""
"GMD","GMD","0","GMD","true","",""
"GNF","GNF","0","GNF","true","",""
"GTQ","GTQ","0","GTQ","true","",""
"GYD","GYD","0","GYD","true","",""
"HNL","HNL","0","HNL","true","",""
"HRK","קונה","1","HRK","true","",""
"HTG","HTG","0","HTG","true","",""
"IDR","IDR","0","IDR","true","",""
"IMP","IMP","0","IMP","true","",""
"IQD","דינר עיראקי","1","IQD","true","",""
"IRR","IRR","0","IRR","true","",""
"JEP","JEP","0","JEP","true","",""
"JMD","JMD","0","JMD","true","",""
"KES","KES","0","KES","true","",""
"KGS","KGS","0","KGS","true","",""
"KHR","ריאל קמבודי","1","KHR","true","",""
"KMF","KMF","0","KMF","true","",""
"KPW","KPW","0","KPW","true","",""
"KWD","KWD","0","KWD","true","",""
"KYD","KYD","0","KYD","true","",""
"KZT","טנגה","1","KZT","true","",""
"LAK","LAK","0","LAK","true","",""
"LKR","LKR","0","LKR","true","",""
"LRD","LRD","0","LRD","true","",""
"LSL","LSL","0","LSL","true","",""
"LYD","LYD","0","LYD","true","",""
"MAD","MAD","0","MAD","true","",""
"MDL","לאו מולדובני","1","MDL","true","",""
"MGA","MGA","0","MGA","true","",""
