"מזהה","שם","מצב","קטגוריית ישות","שם באנגלית","שם קצר באנגלית","תאריך סוף","תאריך התחלה"
"1","משתמש ","1","222","User","User","",""
"2","פרופיל","1","14","Profile","Profile","",""
"3","יחידה ארגונית","1","222","Organization Unit","Org. Unit","",""
"4","תפקיד","1","14","Role","Role","",""
"6","מסמך","1","10020","Document","Doc","",""
"7","דיוור","1","14","Distribution","Distr","",""
"10","מידע סיכומי על משתמש","1","14","User Summery Details","User Dets","",""
"12","משימה","1","10012","Task","Task","",""
"14","אירוע","1","14","Event","Event","",""
"15","ישות לצרכי בדיקות תשתית רצפה","1","14","Test Parent","Test Parent","",""
"16","הודעות","1","10012","Messages List","Msgs Lst","",""
"17","הערות לישות","1","14","Entity Remarks","Ent Rem","",""
"18","טבלת מילון נתונים","1","223","DataDictionaryTable","DataDictionaryTable","",""
"20","מסר","1","223","Message","Message","",""
"21","קשר ישיר","1","223","RelationshipLink","RelationshipLink","",""
"22","קשר","1","223","Relationship","Relationship","",""
"23","אוצר מילים","1","223","Term","Term","",""
"1001","תיק עסקה","1","3","Deal lFile","Deal File","",""
"1002","בקשת פרה - רולינג","1","2","Pre-Ruling Request","PR Req","",""
"1003","פרט מכס","1","2","Customs Item","Cust Item","",""
"1004","אתר מכס","1","11","Site","Site","",""
"1005","סבב אישורים","1","14","Approval Process","App. Proc","",""
"1006","סוג סבב אישורים","1","10012","Approval Process Type","App. Proc. Type","",""
"1008","תיק תביעה/ערעור","1","41","Claim File","Claim","",""
"1009","טבלאות מערכת","1","10020","System Tables","Sys Tbls","",""
"1010","רשיון/אישור","1","55","License And Confirmation","Lcn & Confir","",""
"1011","קשר בין רשימונים לרשיונות ואישורים","1","999","Confirmation In LOI","Conf. LOI","",""
"1012","לקוח","1","12","Customer","Customer","",""
"1013","כתובת לקוח","1","12","Customer Address","Customer Address","",""
"1014","תיק תביעה מוביל","1","41","Leading File","Leading File","",""
"1015","מסר בקשת אחסנה","1","5","StorageRequestMessage","Storage Request","",""
"1016","ספק","1","13","Vendor","Vendor","",""
"1017","מזהה שם ספק","1","13","Vendor Name Identifier","Vendor Name Identifier","",""
"1020","מסר סגירת גוש באתר אחסנה","1","5","BlockClosureMessage","BlockClosureMessage","",""
"1022","מכסה","1","2","Quota","Quota","",""
"1023","היטל סחר","1","2","TradeLevy","TradeLevy","",""
"1026","לקוח חו""ל","1","13","ForeignCustomer","ForeignCustomer","",""
"1027","הסכם סחר","1","2","TradeAgreement","TradeAgreement","",""
"1028","מסר דיווח ביצוע פעולה מיוחדת","1","5","SpecialActivityExecutionReportMassage","SpecialActivityExecutionReportMassage","",""
"1029","כתב ערבות","1","43","GuaranteeCertificate","GuaranteeCertificate","",""
"1030","בקשה לשינויים","1","4","GuaranteeTermsChangeRequest","GuaranteeTermsChangeRequest","",""
"1031","בקשה לערב","1","43","GuaranteeRequestForGuaranator","GuaranteeRequestForGuaranator","",""
"1032","ערב","1","43","Guarantor","Guarantor","",""
"1033","תיק ערבות","1","43","GuaranteeFile","GuaranteeFile","",""
"1034","בקשה להמצאת כתב ערבות","1","43","GuaranteeRequest","GuaranteeRequest","",""
"1035","תוספת לספר מכס","1","2","CustomsBookAddition","CustomsBookAddition","",""
"1036","דרישות חוקיות","1","2","RegularityRequirement","RegularityRequirement","",""
"1039","הוראת תשלום","1","7","PaymentOrder","PaymentOrder","",""
"1040","תנועות עיקולים","1","999","SeizureRepository","SeizureRepository","",""
"1041","העברת זהב","1","7","RTGS","RTGS","",""
"1042","חשבון בנק","1","7","BankAccount","BankAccount","",""
"1043","הסדר מסב לגורם","1","7","MasabAgreement","MasabAgreement","",""
"1044","קרן","1","7","FundDetails","FundDetails","",""
"1045","הנחיות סיווג","1","2","ClassificationGuidance","ClassificationGuidance","",""
"1046","תיק הישבון","1","8","Drawback File","DrawbackFile","",""
"1047","בקשת הישבון","1","8","Drawback File Request","DrawbackFileRequest","",""
