"מספר היטל סחר","כותרת","תיאור טובין בהיטל","שם קבוצת מדינות","מזהה קבוצת מדינות","תאריך סיום היטל סחר","תאריך התחלה","ספרת ביקורת","שם מדינה","סטאטוס היטל סחר","טבלת היטל סחר","סיווג","תאריך סיום חקירה","האם קבוצת מדינות","סוג ספר מכס","מזהה ספק","שם ספק","מזהה מדינה","תיאור טובין בהיטל"
"8211005","הסכם ארה""ב","שקדים בקליפותיהם שמקורם בארה""ב","","","2018-12-31T00:00:00+02:00","2004-01-01T00:00:00+02:00","7","ארצות הברית","היטל","35","0802119000/7","","false","1","","","840",""
"8212003","008212003","שקדים בקליפותיהם","","","1997-11-22T00:00:00+02:00","1996-12-05T00:00:00+02:00","7","","היטל","36","0802119000/7","","false","1","","","",""
"8221004","הסכם ארה""ב","שקדים מקולפים שמקורם בארה""ב","","","2018-12-31T00:00:00+02:00","2004-01-01T00:00:00+02:00","5","ארצות הברית","היטל","117","0802129000/5","","false","1","","","840",""
"8212003","008212003","שקדים בקליפותיהם","","","2004-09-30T00:00:00+02:00","2004-01-01T00:00:00+02:00","7","","היטל","101","0802119000/7","","false","1","","","",""
"15410004","015410004","למאכל","","","2009-12-31T00:00:00+02:00","2005-08-24T00:00:00+03:00","7","ארצות הברית","היטל","64","1512111100/7","","false","1","","","840",""
"8212003","008212003","שקדים בקליפותיהם","","","2005-11-17T00:00:00+02:00","2005-01-01T00:00:00+02:00","7","","היטל","22","0802119000/7","","false","1","","","",""
"15410004","015410004","למאכל","","","2009-12-31T00:00:00+02:00","2005-08-24T00:00:00+03:00","9","ארצות הברית","היטל","64","1512192100/9","","false","1","","","840",""
"8212003","008212003","שקדים בקליפותיהם","","","2006-06-30T00:00:00+03:00","2005-11-18T00:00:00+02:00","7","","היטל","133","0802119000/7","","false","1","","","",""
"15410004","015410004","למאכל","","","2009-12-31T00:00:00+02:00","2005-08-24T00:00:00+03:00","5","ארצות הברית","היטל","64","1514111000/5","","false","1","","","840",""
"8212003","008212003","שקדים בקליפותיהם","","","2006-12-31T00:00:00+02:00","2006-07-01T00:00:00+03:00","7","","היטל","116","0802119000/7","","false","1","","","",""
"15410004","015410004","למאכל","","","2009-12-31T00:00:00+02:00","2005-08-24T00:00:00+03:00","8","ארצות הברית","היטל","64","1514191000/8","","false","1","","","840",""
"8212003","008212003","שקדים בקליפותיהם","","","2007-09-20T00:00:00+02:00","2007-01-01T00:00:00+02:00","7","","היטל","37","0802119000/7","","false","1","","","",""
"15410004","015410004","למאכל","","","2009-12-31T00:00:00+02:00","2005-08-24T00:00:00+03:00","5","ארצות הברית","היטל","64","1514911100/5","","false","1","","","840",""
"8219008","008219008","שקדים בקליפותיהם","","","2003-12-31T00:00:00+02:00","1997-11-23T00:00:00+02:00","7","","היטל","134","0802119000/7","","false","1","","","",""
"15410004","015410004","למאכל","","","2009-12-31T00:00:00+02:00","2005-08-24T00:00:00+03:00","8","ארצות הברית","היטל","64","1514991100/8","","false","1","","","840",""
"8219008","008219008","שקדים בקליפותיהם","","","2005-06-15T00:00:00+03:00","2004-10-01T00:00:00+02:00","7","","היטל","23","0802119000/7","","false","1","","","",""
"15410004","015410004","למאכל","","","2009-12-31T00:00:00+02:00","2005-08-24T00:00:00+03:00","7","ארצות הברית","היטל","64","1517902200/7","","false","1","","","840",""
"8219008","008219008","שקדים בקליפותיהם","","","2006-12-31T00:00:00+02:00","2006-01-01T00:00:00+02:00","7","","היטל","38","0802119000/7","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים_כל יצרן אחר","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","8","לוקסמבורג","היטל","161","4805240000/8","","false","1","","","442",""
"8219008","008219008","שקדים בקליפותיהם","","","2007-09-30T00:00:00+02:00","2007-01-01T00:00:00+02:00","7","","היטל","84","0802119000/7","","false","1","","","",""
"8219008","008219008","שקדים בקליפותיהם","","","2007-12-31T00:00:00+02:00","2007-10-01T00:00:00+02:00","7","","היטל","1","0802119000/7","","false","1","","","",""
"8219008","008219008","שקדים בקליפותיהם","","","2008-12-31T00:00:00+02:00","2008-01-01T00:00:00+02:00","7","","היטל","150","0802119000/7","","false","1","","","",""
"48051304","048051304","מוצרי נייר חומים ממוחזרים","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","8","לטביה","היטל","94","4805240000/8","","false","1","","","428",""
"8221004","008221004","שקדים בקליפותיהם","","","1997-11-22T00:00:00+02:00","1996-12-05T00:00:00+02:00","7","","היטל","135","0802119000/7","","false","1","","","",""
"8221004","008221004","שקדים בקליפותיהם","","","2002-06-17T00:00:00+03:00","1997-11-23T00:00:00+02:00","7","","היטל","2","0802119000/7","","false","1","","","",""
"8221004","008221004","שקדים בקליפותיהם","","","2003-12-31T00:00:00+02:00","2002-06-18T00:00:00+03:00","7","","היטל","49","0802119000/7","","false","1","","","",""
"48051601","048051601","מוצרי נייר חומים ממוחזרים_כל יצרן אחר","","","2009-12-31T00:00:00+02:00","2009-10-01T00:00:00+02:00","8","לטביה","היטל","161","4805240000/8","","false","1","","","428",""
"8222002","008222002","שקדים בקליפותיהם","","","1997-11-22T00:00:00+02:00","1996-12-05T00:00:00+02:00","7","","היטל","39","0802119000/7","","false","1","","","",""
"8222002","008222002","שקדים בקליפותיהם","","","2004-09-30T00:00:00+02:00","2004-04-01T00:00:00+02:00","7","","היטל","151","0802119000/7","","false","1","","","",""
"8222002","008222002","שקדים בקליפותיהם","","","2005-11-17T00:00:00+02:00","2005-01-01T00:00:00+02:00","7","","היטל","40","0802119000/7","","false","1","","","",""
