"ID","Title","StatisticalMeasurementUnitID","CustomsTariffEnglishCalculationReference","PurchaseTaxOptionalTaxAddition","EnglishGoodsDescription","PurchaseTaxCalculationReference","CustomsTariffCalculationReference","StatisticalMeasurementUnitName","CustomsItemID","GoodsDescription","EnglishFullTitle","PurchaseTaxEnglishCalculationReference","FullTitle","StatisticalMeasurementUnitEnglishName","FullClassification"
"172","טוסטר","1","Tax Free","","--TOASTERS","פטור","פטור","כל אחד","431","מקלים (TOASTERS)"," =>  => toaster","Tax Free","חשמל ואלקטרוניקה => מוצרים למטבח => טוסטר","Each","8516720000/6"
"208","מארז כוננים ודיסקים","1","Tax Free","","OTHERS","פטור","פטור","כל אחד","667","אחרים"," =>  => Drive case and disks","Tax Free","חשמל ואלקטרוניקה => מחשבים, מדפסות וציוד תקשורת => מארז כוננים ודיסקים","Each","8523499000/1"
"547","מערבל קול","1","","","----Others","פטור","פטור","כל אחד","668","אחרים"," =>  => mixer","Tax Free","חשמל ואלקטרוניקה => צפייה ושמע => מערבל קול","Each","8543701900/4"
"541","מערבל קול","1","","","----Others","פטור","פטור","כל אחד","668","אחרים","DJ MIXER","Tax Free","מערבל קול","Each","8543701900/4"
"426","בקר, טרי","6","12.00% ","","BONELESS","פטור","שיעור 12.00% ","קילוגרם","789","בלי עצם"," => Meat, chicken and fish => ","Tax Free","מזון ומשקאות => בשר, עוף ודגים => בקר, טרי","Kilogram","0201300000/1"
"237","משקלים","1","","","---SCALES FOR WEIGHING PERSONS, INCLUDING SCALES FOR WEIGHING BABIES","פטור","פטור","כל אחד","859","מאזניים לשקילת בני אדם, לרבות מאזניים לשקילת תינוקות"," =>  => Libra","Tax Free","חשמל ואלקטרוניקה => מכשירי שקילה => משקלים","Each","8423101000/4"
"192","אביזרים לניווט לוויני","1","","","----Others","פטור","פטור","כל אחד","860","אחרים"," =>  => Satellite navigation accessories","Tax Free","חשמל ואלקטרוניקה => מחשבים, מדפסות וציוד תקשורת => אביזרים לניווט לוויני","Each","8543705900/0"
"227","סטרימר","1","","","----Others","פטור","פטור","כל אחד","860","אחרים"," =>  => strimer","Tax Free","חשמל ואלקטרוניקה => מחשבים, מדפסות וציוד תקשורת => סטרימר","Each","8543705900/0"
"149","אביזרים לטלפונים סלולאריים","1","","","----Others","פטור","פטור","כל אחד","860","אחרים"," =>  => Cell Phone Accessories","Tax Free","חשמל ואלקטרוניקה => טלפונים וטאבלטים => אביזרים לטלפונים סלולאריים","Each","8543705900/0"
"155","מגן מסך לטלפון סלולרי","1","","","----Others","פטור","פטור","כל אחד","860","אחרים"," =>  => Mobile screen protector","Tax Free","חשמל ואלקטרוניקה => טלפונים וטאבלטים => מגן מסך לטלפון סלולרי","Each","8543705900/0"
"429","עוף, טרי/קפוא, מעובד/גולמי","6"," 4.50 ₪ per Kilogram) but no more than 170.00% ","","OTHERS","פטור"," 4.50 ₪ לקילוגרם אל""י מ-170.00% ","קילוגרם","1092","אחרים"," => Meat, chicken and fish => ","Tax Free","מזון ומשקאות => בשר, עוף ודגים => עוף, טרי/קפוא, מעובד/גולמי","Kilogram","0207609000/6"
"146","מחממי מים","1","","","---OTHERS","פטור","פטור","כל אחד","1302","אחרים"," =>  => Water heaters","Tax Free","חשמל ואלקטרוניקה => חימום וקירור הבית => מחממי מים","Each","8516219000/4"
"120","מזון לחיות מחמד","6","3.00% ","","%containing, by weight, not less than 15% and not more than 35 protein substances and not less than 4% fatty substances","פטור","שיעור 3.00% ","קילוגרם","1314","המכילים, לפי משקל, לא פחות מ-15 למאה ולא יותר מ-35 למאה
חמרים חלבוניים ולא פחות מ-4 למאה חמרים שומניים"," =>  => pet food","Tax Free","בעלי חיים => מזון וחטיפים לחיות => מזון לחיות מחמד","Kilogram","2309102000/0"
"122","מזון כלבים וחתולים","6","3.00% ","","%containing, by weight, not less than 15% and not more than 35 protein substances and not less than 4% fatty substances","פטור","שיעור 3.00% ","קילוגרם","1314","המכילים, לפי משקל, לא פחות מ-15 למאה ולא יותר מ-35 למאה
חמרים חלבוניים ולא פחות מ-4 למאה חמרים שומניים","","Tax Free","מזון כלבים וחתולים","Kilogram","2309102000/0"
"387","מדבקות קיר וטפטים","6","","","-OTHER","פטור","פטור","קילוגרם","1359","אחרים"," =>  => ","Tax Free","לבית, לגן ולמשרד => צביעה, בנייה ושיפוצים => מדבקות קיר וטפטים","Kilogram","4814900000/1"
"526","סקייטבורד ורולרבליידס","2","Tax Free","","-ICE SKATES AND ROLLER SKATES, INCLUDING SKATING BOOTS WITH SKATES ATTACHED","פטור","פטור","זוג","1606","מחליקיים לקרח וגלגיליות להחלקה, לרבות נעלי החלקה שהוצמדו אליהן
מחליקיים או גלגיליות"," =>  => ","Tax Free","צעצועים, תחביבים ופנאי => צעצועים ומשחקים => סקייטבורד ורולרבליידס","Pair","9506700000/0"
"258","שואב אבק","1","Tax Free","","-:--Other","פטור","פטור","כל אחד","1633","אחרים"," =>  => Vacuum Cleaner","Tax Free","חשמל ואלקטרוניקה => ניקיון, גיהוץ וכביסה => שואב אבק","Each","8508190000/4"
